@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute lefthand_pos_body-1 numeric
@attribute lefthand_pos_body-2 numeric
@attribute reverb_values-1 numeric
@attribute reverb_values-2 numeric

@data
160,'2018/10/10 16:07:21:338',4,-751.057617,517.105957,1,1
161,'2018/10/10 16:07:21:375',4,-750.636597,517.665588,1,1
162,'2018/10/10 16:07:21:399',4,-750.282532,517.437744,1,1
163,'2018/10/10 16:07:21:435',4,-750.67157,515.123169,1,1
164,'2018/10/10 16:07:21:470',4,-751.854553,519.323059,1,1
165,'2018/10/10 16:07:21:500',4,-753.398315,521.176514,1,1
166,'2018/10/10 16:07:21:536',4,-753.832336,520.745361,1,1
167,'2018/10/10 16:07:21:574',4,-753.651733,521.964722,1,1
168,'2018/10/10 16:07:21:601',4,-752.784668,522.79425,1,1
169,'2018/10/10 16:07:21:636',4,-751.379822,522.285645,1,1
170,'2018/10/10 16:07:21:670',4,-749.774292,521.851563,1,1
171,'2018/10/10 16:07:21:705',4,-749.923218,522.487183,1,1
172,'2018/10/10 16:07:21:736',4,-750.070007,522.773254,1,1
173,'2018/10/10 16:07:21:768',4,-747.760437,522.307068,1,1
174,'2018/10/10 16:07:21:805',4,-747.028015,522.775635,1,1
175,'2018/10/10 16:07:21:836',4,-746.976563,523.694214,1,1
176,'2018/10/10 16:07:21:867',4,-748.986206,522.61969,1,1
177,'2018/10/10 16:07:21:904',4,-748.493591,522.956604,1,1
178,'2018/10/10 16:07:21:935',4,-749.272339,522.409424,1,1
179,'2018/10/10 16:07:21:973',4,-749.864929,521.075134,1,1
180,'2018/10/10 16:07:22:010',4,-752.647034,520.197449,1,1
181,'2018/10/10 16:07:22:042',4,-750.00354,521.361023,1,1
182,'2018/10/10 16:07:22:074',4,-749.689819,521.039856,1,1
183,'2018/10/10 16:07:22:111',4,-748.190186,522.022949,1,1
184,'2018/10/10 16:07:22:135',4,-746.039734,522.19928,1,1
185,'2018/10/10 16:07:22:169',4,-745.523987,521.912231,1,1
186,'2018/10/10 16:07:22:210',4,-746.02356,521.799194,1,1
187,'2018/10/10 16:07:22:242',4,-745.389343,522.108521,1,1
188,'2018/10/10 16:07:22:270',4,-744.25885,522.542297,1,1
189,'2018/10/10 16:07:22:309',4,-744.494629,522.159668,1,1
190,'2018/10/10 16:07:22:337',4,-745.268494,521.682983,1,1
191,'2018/10/10 16:07:22:369',4,-744.97998,521.75824,1,1
192,'2018/10/10 16:07:22:404',4,-744.930359,521.9328,1,1
193,'2018/10/10 16:07:22:442',4,-745.66272,521.825928,1,1
194,'2018/10/10 16:07:22:468',4,-746.559387,522.339844,1,1
195,'2018/10/10 16:07:22:504',4,-746.102905,521.875061,1,1
196,'2018/10/10 16:07:22:537',4,-746.849854,519.686584,1,1
