@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute y numeric
@attribute change_reverb_state-1 {0,1,2}

@data
164,'2018/10/06 17:23:10:199',4,-402.7724,2
165,'2018/10/06 17:23:10:227',4,-408.576538,2
166,'2018/10/06 17:23:10:257',4,-418.084686,2
167,'2018/10/06 17:23:10:292',4,-424.105255,2
168,'2018/10/06 17:23:10:332',4,-413.111603,2
169,'2018/10/06 17:23:10:357',4,-406.282532,2
170,'2018/10/06 17:23:10:392',4,-401.332764,2
171,'2018/10/06 17:23:10:425',4,-398.063904,2
172,'2018/10/06 17:23:10:460',4,-399.852905,2
173,'2018/10/06 17:23:10:497',4,-399.728149,2
174,'2018/10/06 17:23:10:525',4,-409.76236,2
175,'2018/10/06 17:23:10:559',4,-419.360352,2
176,'2018/10/06 17:23:10:602',4,-424.984375,2
177,'2018/10/06 17:23:10:631',4,-428.919373,2
178,'2018/10/06 17:23:10:660',4,-430.418549,2
179,'2018/10/06 17:23:10:700',4,-429.583374,2
180,'2018/10/06 17:23:10:729',4,-418.408813,2
181,'2018/10/06 17:23:10:758',4,-407.726257,2
182,'2018/10/06 17:23:10:795',4,-415.737976,2
183,'2018/10/06 17:23:10:831',4,-404.610199,2
184,'2018/10/06 17:23:10:857',4,-391.5177,2
185,'2018/10/06 17:23:10:896',4,-394.064514,2
186,'2018/10/06 17:23:10:929',4,-395.150818,2
187,'2018/10/06 17:23:10:958',4,-407.301239,2
188,'2018/10/06 17:23:10:994',4,-404.937958,2
189,'2018/10/06 17:23:11:028',4,-400.489471,2
190,'2018/10/06 17:23:11:058',4,-403.018494,2
191,'2018/10/06 17:23:11:093',4,-397.101807,2
192,'2018/10/06 17:23:11:130',4,-407.478149,2
193,'2018/10/06 17:23:11:158',4,-399.03186,2
194,'2018/10/06 17:23:11:204',4,-393.917145,2
195,'2018/10/06 17:23:11:232',4,-389.461761,2
196,'2018/10/06 17:23:11:257',4,-389.508942,2
197,'2018/10/06 17:23:11:298',4,-405.352112,2
198,'2018/10/06 17:23:11:365',4,-416.487122,2
199,'2018/10/06 17:23:11:394',4,-424.32428,2
200,'2018/10/06 17:23:11:426',4,-428.713074,2
201,'2018/10/06 17:23:11:461',4,-431.295227,2
202,'2018/10/06 17:23:11:499',4,-432.330536,2
203,'2018/10/06 17:23:11:530',4,-430.688416,2
204,'2018/10/06 17:23:11:559',4,-429.906006,2
205,'2018/10/06 17:23:11:595',4,-430.843964,2
206,'2018/10/06 17:23:11:627',4,-431.889404,2
207,'2018/10/06 17:23:11:663',4,-430.347412,2
208,'2018/10/06 17:23:11:693',4,-429.745056,2
209,'2018/10/06 17:23:11:734',4,-430.934265,2
210,'2018/10/06 17:23:11:761',4,-416.983032,2
211,'2018/10/06 17:23:11:802',4,-418.001526,2
212,'2018/10/06 17:23:11:831',4,-422.496765,2
213,'2018/10/06 17:23:11:861',4,-426.12735,2
