@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute reverb_values-1 numeric
@attribute reverb_values-2 numeric

@data
142,'2018/10/10 10:46:56:234',2,50,272,0.5,0
143,'2018/10/10 10:46:56:250',2,50,272,0.5,0
144,'2018/10/10 10:46:56:267',2,50,272,0.5,0
145,'2018/10/10 10:46:56:284',2,50,272,0.5,0
146,'2018/10/10 10:46:56:300',2,50,272,0.5,0
147,'2018/10/10 10:46:56:317',2,50,272,0.5,0
148,'2018/10/10 10:46:56:334',2,50,272,0.5,0
149,'2018/10/10 10:46:56:350',2,50,272,0.5,0
150,'2018/10/10 10:46:56:367',2,50,272,0.5,0
151,'2018/10/10 10:46:56:386',2,50,272,0.5,0
152,'2018/10/10 10:46:56:401',2,50,272,0.5,0
153,'2018/10/10 10:46:56:418',2,50,272,0.5,0
154,'2018/10/10 10:46:56:434',2,50,272,0.5,0
155,'2018/10/10 10:46:56:452',2,50,272,0.5,0
156,'2018/10/10 10:46:56:468',2,50,272,0.5,0
157,'2018/10/10 10:46:56:484',2,50,272,0.5,0
158,'2018/10/10 10:46:56:501',2,50,272,0.5,0
159,'2018/10/10 10:46:56:518',2,50,272,0.5,0
160,'2018/10/10 10:46:56:534',2,50,272,0.5,0
161,'2018/10/10 10:46:56:551',2,50,272,0.5,0
162,'2018/10/10 10:46:56:567',2,50,272,0.5,0
163,'2018/10/10 10:46:56:585',2,50,272,0.5,0
164,'2018/10/10 10:46:56:600',2,50,272,0.5,0
165,'2018/10/10 10:46:56:617',2,50,272,0.5,0
166,'2018/10/10 10:46:56:632',2,50,272,0.5,0
167,'2018/10/10 10:46:56:649',2,50,272,0.5,0
168,'2018/10/10 10:46:56:665',2,50,272,0.5,0
169,'2018/10/10 10:46:56:682',2,50,272,0.5,0
170,'2018/10/10 10:46:56:699',2,50,272,0.5,0
171,'2018/10/10 10:46:56:715',2,50,272,0.5,0
172,'2018/10/10 10:46:56:732',2,50,272,0.5,0
173,'2018/10/10 10:46:56:748',2,50,272,0.5,0
174,'2018/10/10 10:46:56:765',2,50,272,0.5,0
175,'2018/10/10 10:46:56:784',2,50,272,0.5,0
176,'2018/10/10 10:46:56:801',2,50,272,0.5,0
177,'2018/10/10 10:46:56:817',2,50,272,0.5,0
178,'2018/10/10 10:46:56:834',2,50,272,0.5,0
179,'2018/10/10 10:46:56:850',2,50,272,0.5,0
180,'2018/10/10 10:46:56:867',2,50,272,0.5,0
181,'2018/10/10 10:46:56:884',2,50,272,0.5,0
182,'2018/10/10 10:46:56:900',2,50,272,0.5,0
183,'2018/10/10 10:46:56:917',2,50,272,0.5,0
184,'2018/10/10 10:46:56:935',2,50,272,0.5,0
185,'2018/10/10 10:46:56:952',2,50,272,0.5,0
186,'2018/10/10 10:46:56:968',2,50,272,0.5,0
187,'2018/10/10 10:46:56:984',2,50,272,0.5,0
188,'2018/10/10 10:46:57:001',2,50,272,0.5,0
